variable,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,
1893,-0.147827573,-0.067350661,0.15491937560891472,0.2353966288715601,0.043784121,-0.045580748,-0.030888652,0.009692831,0.024387327,-0.010599568,-0.011809882,0.011996187744501743,0.07775343,0.10156467448012511,0.044871236,-0.132178554,-0.077976927,0.071722371,0.12592368368387896,-0.003127061
1894,0.00696362,0.038513517018734976,0.12565555886123386,0.15720851984104622,0.082082422,-0.043316371,-0.029971001,0.006891967,0.020240470302760653,-0.011541681,-0.000689576,0.026737221368835946,0.10250028268789896,0.1299363918762328,0.064612322,-0.058237401,-0.030537719,0.045971329,0.073674751,0.007714222
1895,-0.03905003,0.003202303,0.11990099881930905,0.16215461829395664,0.061550762,-0.060383107,-0.040625942,0.013945370621746013,0.033705363770462224,-0.013342239,-0.004388368,0.015833093,0.071690842,0.091918095,0.043757967,-0.063779402,-0.033190888,0.051298111458577746,0.081891287,0.009050393
1896,-0.055095155,-0.021905014,0.069763336,0.1029537241619613,0.02392899,-0.028785882,-0.015378872,0.021649693,0.035056472,0.003135569,-0.012294853,0.010419706920180849,0.073161653,0.095880916,0.041787432535976186,-0.077662595,-0.050808381,0.023343535814662794,0.050185536443628075,-0.013723989
1897,-0.014470716,0.018615236529884782,0.10999796339298851,0.1430857094325437,0.064305362,-0.041483631,-0.022164488,0.031192684949316304,0.050511496,0.004514327,0.005825034,0.029553254030560402,0.095102166,0.11884039914173024,0.062320796,-0.06568029,-0.038976726,0.034775580426374075,0.061478858,-0.002100374
1898,-0.031207978,0.005994551,0.1087461455829396,0.14594994393168265,0.057369471672770615,-0.036955186,-0.016447589,0.040189461518443485,0.060694900680686496,0.011872426,0.007949678,0.029373781764270978,0.088558823,0.10999285235410235,0.058959448886533074,-0.070916351,-0.042900751,0.034474146,0.062488644,-0.004212541
1899,-0.021829534,0.022177975443678354,0.14372562455190058,0.18773537784813363,0.082950251,-0.054435279,-0.034940222,0.018904699974544872,0.038400793,-0.008018476,-0.001444407,0.023241723,0.091433713,0.11612798865319901,0.057332094,-0.065649435,-0.032474786,0.059163325,0.092347308,0.013337823672479827
1900,0.008233287,0.042461986173010294,0.13700305309579128,0.17123512693232654,0.089730189,-0.046157775,-0.0242352,0.036312142,0.058234194340471154,0.006038832,0.012611503641323109,0.0352178,0.09767073,0.1202889699579087,0.066436019,-0.052940928,-0.025937314,0.048655573,0.075667497,0.011353392007795202
1901,-0.065395723,-0.011903983,0.1358365301216798,0.1893292998049014,0.061965562463897506,-0.047737121,-0.024992025,0.037826977,0.060571504,0.006417869,0.045724606,0.068735935,0.13232811062761254,0.15536628780124376,0.10051348500688373,-0.122873188,-0.083942893,0.023522584305528532,0.062412117751412116,-0.03018201
1902,-0.067837407,-0.027024091,0.085698819,0.12651243763974207,0.029337155291019996,-0.041112319,-0.021275524,0.033510998,0.053347202,0.006118147,0.037847656312178776,0.060016044,0.12127431019923103,0.1434653567804389,0.090629532,-0.124279552,-0.090664765,0.002035848,0.035549091,-0.044244344
1903,-0.120448107,-0.066461231,0.082645405,0.1366322993685913,0.008092075,-0.206083275,-0.167611956,-0.061210328,-0.022632192,-0.114484896,0.041768773,0.065063644,0.12943613590020198,0.15275582695107465,0.097232753,-0.165954798,-0.122493268,-0.002672976,0.040631912,-0.062474965
1904,-0.207958778,-0.110787192,0.1575915882067361,0.2547632557977123,0.023402142485864134,-0.152415026,-0.122047848,-0.038085059,-0.007651597,-0.08011222,0.033485747,0.061637294,0.1394194985712165,0.16759299571348535,0.1005132406128452,-0.216349585,-0.148554179,0.038583197,0.10630106372702429,-0.054931953
1905,-0.192107366,-0.092595599,0.1822468252406962,0.28175888215034467,0.044825413,-0.111887781,-0.08578769,-0.01366064,0.012469201754177886,-0.049744706,0.027426941528709982,0.052150895,0.1204615410008425,0.14520391671047664,0.086293498,-0.190472445,-0.123614265,0.061006454,0.12783913876734412,-0.031286302
1906,-0.125407086,-0.080566705,0.043278005,0.088118275,-0.018644273,-0.065399626,-0.038852118,0.03446965,0.061017215179098847,-0.002191273,0.035582598,0.05705254,0.11638004344416017,0.13787139752401695,0.086701507,-0.168478531,-0.128085766,-0.016836862,0.023329923530424623,-0.07230528
1907,-0.106427737,-0.042387362,0.13448671006150825,0.19852756000489746,0.046049346,-0.107918592,-0.078357092,0.003309612,0.032886070675087815,-0.037534069,0.046159099,0.074130538,0.15142337739177475,0.17942261502745577,0.11275776351392951,-0.163442985,-0.115342662,0.017386124588622175,0.065399751,-0.048918407
1908,-0.071837032,-0.025511625,0.10243537125879335,0.14876123690192175,0.038461557,-0.073891097,-0.044811169,0.035505146,0.064585308,-0.004653173,0.063788951,0.094393402,0.17897150883287719,0.2096132734173033,0.13665669107343165,-0.173210649,-0.130038816,-0.011079147,0.031892228,-0.07042057
1909,-0.128446096,-0.06475166,0.11116647416776307,0.1748610316479388,0.023207323361806066,-0.061616006,-0.034188685,0.041562745945267314,0.06898991,0.003687138,0.086999052,0.11053597391829634,0.17561607763945875,0.1992061277518564,0.1430393417699572,-0.20869428,-0.156596835,-0.013040137,0.038817269,-0.084652744
1910,-0.080307949,-0.020169648,0.14592791739818367,0.20606716259752444,0.062878484,-0.049234268,-0.026240762,0.037264539,0.06025763,0.005512175,0.073450929,0.1025650369755661,0.18303454365151656,0.21219145791935407,0.1427702334721219,-0.172012929,-0.124549345,0.006363956,0.053699658,-0.059004395
